Name, Total Kills, Headshot Percentage, Total Deaths, Kill/Death Ratio,Damage Per Round, Grenade Damage Per Round, Maps Played, Rounds Played, Kills Per Round, Assists Per Round,Deaths Per Round, Saved By Teamates Per Round, Saved Teamates Per Round, KAST, Impact, Rating 2.0
HUGHMUNGUS,13103,50.7,12622,1.04,74.6,4.8,740,19182,0.68,0.13,0.66,0.10,0.11,70.6,1.03,1.06
byali,33518,51.7,32180,1.04,76.3,3.6,1830,48041,0.70,0.14,0.67,0.09,0.10,69.9,1.00,1.01
arT,17298,34.4,17099,1.01,78.3,3.7,937,24307,0.71,0.14,0.70,0.10,0.07,68.4,1.28,1.10
desi,7826,51.5,7727,1.01,75.6,2.9,430,10986,0.71,0.13,0.70,0.09,0.10,68.9,1.07,1.01
Stewie2K,27093,49.4,26573,1.02,77.8,5.1,1486,38805,0.70,0.14,0.68,0.10,0.08,70.4,1.16,1.01
jR,15731,33.5,15080,1.04,71.8,3.3,866,23111,0.68,0.11,0.65,0.08,0.07,68.2,1.08,1.01
Maikelele,18850,37.0,17905,1.05,73.3,4.8,1067,28134,0.67,0.14,0.64,0.09,0.09,70.3,1.03,1.01
mitch,14179,44.4,13547,1.05,76.8,4.0,807,20719,0.68,0.14,0.65,0.10,0.11,72.1,1.05,1.01
obj,7183,31.6,6757,1.06,70.0,2.8,412,10784,0.67,0.11,0.63,0.09,0.09,70.9,1.02,1.01
Viva,10394,45.9,9923,1.05,71.8,2.7,585,15525,0.67,0.12,0.64,0.10,0.11,71.5,1.04,1.06
tatazin,12715,46.4,11769,1.08,69.9,3.2,746,19564,0.65,0.11,0.60,0.08,0.09,73.2,0.90,1.05
b0RUP,24503,63.8,24089,1.02,73.1,4.4,1352,35776,0.68,0.11,0.67,0.10,0.10,69.8,1.06,1.01
Noobster,8741,34.5,8534,1.02,73.2,4.0,495,12785,0.68,0.12,0.67,0.09,0.09,67.8,1.11,1.01
Nodios,12942,53.9,12463,1.04,75.8,5.1,710,19030,0.68,0.14,0.65,0.10,0.11,71.3,1.00,1.01
grux,8740,67.2,8483,1.03,73.9,2.9,470,12547,0.70,0.10,0.68,0.10,0.11,69.9,1.00,1.04
EasTor,8811,28.4,8463,1.04,68.6,2.7,490,13018,0.68,0.09,0.65,0.10,0.10,69.4,1.02,1.01
shokz,10186,54.2,9923,1.03,75.4,3.6,564,14987,0.68,0.12,0.66,0.08,0.09,70.4,1.05,1.06
b0denmaster,7566,34.7,7312,1.03,73.3,4.9,415,11107,0.68,0.11,0.66,0.09,0.08,68.7,1.12,1.06
ayaya,8275,40.3,8160,1.01,78.2,2.7,458,11590,0.71,0.14,0.70,0.09,0.09,68.5,1.12,1.01
reatz,27479,51.6,26689,1.03,74.1,2.8,1483,39842,0.69,0.12,0.67,0.10,0.11,70.7,0.99,1.01
mirbit,15351,44.0,14425,1.06,73.5,5.7,866,23162,0.66,0.13,0.62,0.09,0.09,72.4,0.95,1.06
xCeeD,7407,44.1,7296,1.02,75.1,2.9,412,10694,0.69,0.13,0.68,0.12,0.11,71.0,1.09,1.07
Friis,16356,26.3,15609,1.05,69.4,2.4,938,24254,0.67,0.11,0.64,0.09,0.08,68.6,1.05,1.01
dazzLe,12753,42.0,12761,1.00,80.9,3.5,690,17971,0.71,0.16,0.71,0.10,0.09,69.5,1.15,1.08
zqkS,12484,28.9,11763,1.06,69.9,3.7,729,18817,0.66,0.12,0.63,0.10,0.09,70.7,1.05,1.01
siuhy,8511,53.5,8462,1.01,77.9,4.3,453,12146,0.70,0.13,0.70,0.10,0.08,68.7,1.12,1.07
kalinka,16112,52.8,15955,1.01,76.6,3.8,855,22891,0.70,0.12,0.70,0.09,0.09,68.8,1.10,1.01
Lack1,15411,45.8,15185,1.01,74.5,2.8,837,22307,0.69,0.13,0.68,0.09,0.09,69.7,1.08,1.05
Jinxx,7054,52.7,6771,1.04,72.3,3.8,400,10511,0.67,0.12,0.64,0.10,0.13,71.7,0.94,1.04
leo_drk,10114,51.4,10028,1.01,77.2,4.4,565,14501,0.70,0.13,0.69,0.11,0.10,70.0,1.13,1.07
to1nou,15196,30.5,14676,1.04,68.8,2.2,850,22377,0.68,0.10,0.66,0.09,0.10,68.9,1.01,1.01
Tsogoo,8315,52.9,8158,1.02,77.5,3.4,461,11774,0.71,0.14,0.69,0.10,0.11,69.6,1.04,1.01
DickStacy,10534,48.9,10188,1.03,73.5,4.5,624,15708,0.67,0.15,0.65,0.11,0.09,72.6,1.06,1.08
DESPE,8068,29.8,7748,1.04,68.7,2.5,468,12127,0.67,0.11,0.64,0.08,0.08,69.4,1.04,1.01
kioShiMa,26259,51.3,24967,1.05,74.0,5.2,1495,39250,0.67,0.15,0.64,0.08,0.09,70.6,0.97,1.01
speed4k,13678,39.2,13110,1.04,69.9,2.9,767,20579,0.66,0.11,0.64,0.09,0.09,70.5,1.01,1.05
FugLy,18921,43.4,18300,1.03,73.5,3.5,1083,28153,0.67,0.13,0.65,0.10,0.11,71.4,0.98,1.01
emagine,12837,45.9,12350,1.04,73.6,4.8,751,18931,0.68,0.14,0.65,0.10,0.09,70.7,1.00,1.01
Polt,9270,49.2,8853,1.05,77.7,3.5,510,13490,0.69,0.14,0.66,0.08,0.09,70.9,1.00,1.07
Nifty,15336,36.3,15026,1.02,70.2,3.2,865,22686,0.68,0.09,0.66,0.10,0.09,67.7,1.08,1.01
waterfaLLZ,15964,27.2,15644,1.02,72.7,3.2,875,23197,0.69,0.12,0.67,0.09,0.08,68.0,1.09,1.01
MINISE,34615,39.7,34010,1.02,73.9,4.9,1871,49905,0.69,0.12,0.68,0.08,0.07,67.1,1.14,1.00
Zero,18119,48.9,17336,1.05,71.9,2.5,1015,27013,0.67,0.12,0.64,0.09,0.11,71.5,0.96,1.00
innocent,31050,46.0,30464,1.02,77.1,5.1,1701,44784,0.69,0.15,0.68,0.09,0.09,69.9,1.03,1.00
pounh,7289,49.5,7198,1.01,75.9,2.1,401,10552,0.69,0.13,0.68,0.09,0.09,69.0,1.03,1.04
truth,8268,51.7,8156,1.01,75.9,3.2,443,11862,0.70,0.12,0.69,0.09,0.11,69.3,1.02,1.00
nitr0,23511,44.3,22894,1.03,71.9,4.9,1333,34755,0.68,0.14,0.66,0.11,0.10,71.4,1.01,1.00
Relyks,14589,48.8,14428,1.01,73.9,5.6,832,21258,0.69,0.12,0.68,0.10,0.10,69.6,1.01,1.00
fenvicious,13225,52.7,13084,1.01,75.7,2.4,729,19059,0.69,0.12,0.69,0.09,0.09,69.1,1.02,1.00
R0b3n,9420,49.8,9174,1.03,74.5,3.0,525,13824,0.68,0.12,0.66,0.09,0.10,70.3,0.98,1.04
glace,10395,52.2,10029,1.04,74.4,4.1,589,15307,0.68,0.14,0.66,0.09,0.10,70.7,1.00,1.00
Oderus,8738,34.3,8790,0.99,72.3,1.8,473,12356,0.71,0.09,0.71,0.10,0.10,67.0,1.15,1.04
1uke,11017,26.4,10794,1.02,71.6,2.2,623,16179,0.68,0.09,0.67,0.08,0.07,67.3,1.16,1.00
SZPERO,35995,33.3,35032,1.03,72.6,3.3,1996,52777,0.68,0.12,0.66,0.08,0.07,69.1,1.06,1.00
Edward,26683,51.1,25994,1.03,72.0,2.9,1473,38787,0.69,0.13,0.67,0.09,0.09,69.3,0.98,1.00
ableJ,6352,50.8,6053,1.05,72.1,3.9,372,9544,0.67,0.13,0.63,0.10,0.09,72.5,0.95,1.05
dzt,11845,46.4,11676,1.01,75.7,3.7,665,17229,0.69,0.13,0.68,0.10,0.09,69.6,1.11,1.00
hazed,13273,49.8,13354,0.99,78.3,4.1,736,19138,0.69,0.15,0.70,0.09,0.08,68.2,1.12,1.00
mopoz,19349,51.6,19333,1.00,75.9,4.8,1071,28421,0.68,0.13,0.68,0.09,0.07,69.1,1.10,1.00
almazer,23468,51.9,22888,1.03,74.3,4.1,1302,35000,0.67,0.13,0.65,0.10,0.09,71.1,1.00,1.06
kenzor,10785,54.8,10728,1.01,76.6,2.6,598,15627,0.69,0.13,0.69,0.10,0.11,70.1,1.04,1.05
xiaosaGe,15543,47.6,15517,1.00,80.0,5.2,840,22136,0.70,0.16,0.70,0.11,0.10,70.1,1.11,1.08
cbbk,7029,51.2,6866,1.02,75.6,4.3,404,10342,0.68,0.15,0.66,0.10,0.10,71.4,1.02,1.06
Djoko,7370,61.2,7380,1.00,75.0,6.0,408,10771,0.68,0.13,0.69,0.10,0.10,69.1,1.08,1.05
KILLDREAM,7851,44.2,7867,1.00,81.9,3.4,429,11159,0.70,0.16,0.70,0.10,0.11,70.9,1.15,1.00
Basso,10081,53.0,9816,1.03,70.1,3.5,582,15218,0.66,0.10,0.65,0.09,0.10,70.0,0.92,1.00
RoLEX,8834,51.2,8801,1.00,78.6,3.2,492,12610,0.70,0.14,0.70,0.09,0.09,69.2,1.08,1.06
zeff,8381,42.0,8327,1.01,77.8,4.9,482,12229,0.69,0.17,0.68,0.13,0.11,72.0,1.15,1.00
cromen,11785,52.8,11718,1.01,74.0,3.6,653,17335,0.68,0.13,0.68,0.11,0.11,70.3,1.06,1.00
adreN,12259,35.3,11879,1.03,76.5,5.7,697,18241,0.67,0.15,0.65,0.10,0.12,70.9,1.02,1.00
ImpressioN,11502,48.9,11418,1.01,77.0,4.1,647,16751,0.69,0.15,0.68,0.10,0.11,71.0,1.06,1.00
MODDII,20574,52.4,20166,1.02,74.6,3.6,1169,30527,0.67,0.13,0.66,0.08,0.08,70.1,1.02,1.00
void,7854,40.0,7727,1.02,74.1,2.8,437,11368,0.69,0.13,0.68,0.10,0.11,69.8,0.96,1.03
pyth,13677,56.0,13682,1.00,70.3,4.1,756,19801,0.69,0.13,0.69,0.10,0.10,67.4,0.96,1.00
mds,19543,53.4,19084,1.02,72.6,2.8,1087,29074,0.67,0.11,0.66,0.09,0.09,70.2,1.00,1.04
supra,9439,57.9,9376,1.01,72.9,5.4,530,14221,0.66,0.12,0.66,0.10,0.10,69.9,1.05,1.05
bubble,36652,41.4,35540,1.03,74.6,4.9,2081,54535,0.67,0.15,0.65,0.10,0.10,71.0,1.03,1.00
Jerry,27424,45.8,27013,1.02,76.7,4.2,1490,40075,0.68,0.14,0.67,0.10,0.09,71.0,1.05,1.07
reversive,10519,43.6,10323,1.02,75.7,4.5,594,15490,0.68,0.14,0.67,0.10,0.10,71.0,1.04,1.00
cam,9454,50.8,9285,1.02,75.3,5.4,544,13974,0.68,0.15,0.66,0.12,0.12,71.9,1.02,1.06
Noktse,12892,38.8,12632,1.02,74.2,4.6,733,19154,0.67,0.13,0.66,0.09,0.08,68.9,1.10,1.06
xseveN,22472,46.2,22132,1.02,78.7,6.0,1257,33229,0.68,0.16,0.67,0.09,0.09,70.9,1.06,1.00
peet,6788,34.0,6691,1.01,71.0,2.1,379,9993,0.68,0.12,0.67,0.10,0.10,69.0,1.09,1.00
DeathZz,7963,49.9,7826,1.02,75.1,3.3,446,11898,0.67,0.13,0.66,0.09,0.10,70.3,0.96,1.04
pecks,6620,45.9,6458,1.03,72.4,4.4,389,9930,0.67,0.14,0.65,0.09,0.08,71.1,0.96,1.00
STYKO,25989,57.5,25588,1.02,74.6,5.0,1474,38842,0.67,0.13,0.66,0.09,0.08,70.0,0.99,1.00
SIXER,18425,39.3,17582,1.05,69.8,2.7,1066,28079,0.66,0.11,0.63,0.09,0.10,70.6,0.95,1.00
vice,8668,49.4,8540,1.01,75.9,3.1,493,12707,0.68,0.14,0.67,0.12,0.11,71.4,1.02,1.00
Bååten,13293,56.5,13254,1.00,74.1,3.7,738,19661,0.68,0.12,0.67,0.10,0.11,69.4,1.01,1.00
xelos,7776,48.3,7750,1.00,76.8,5.7,426,11262,0.69,0.15,0.69,0.08,0.08,68.6,1.04,1.00
uli,9167,48.8,9018,1.02,76.1,4.9,505,13510,0.68,0.13,0.67,0.09,0.10,70.1,1.02,1.00
robiin,27448,48.0,27475,1.00,80.2,8.6,1498,39911,0.69,0.17,0.69,0.11,0.10,70.8,1.07,0.99
freakazoid,15481,46.7,15481,1.00,77.8,4.4,871,22342,0.69,0.15,0.69,0.11,0.10,70.6,1.08,0.99
freddieb,20728,52.9,20548,1.01,77.0,4.2,1135,30119,0.69,0.14,0.68,0.09,0.09,68.8,1.07,0.99
SEMPHIS,15472,36.5,15505,1.00,73.6,3.1,848,21936,0.71,0.14,0.71,0.10,0.10,68.6,1.02,0.99
dephh,14252,47.6,14484,0.98,80.6,4.9,768,20106,0.71,0.16,0.72,0.11,0.10,69.1,1.16,0.99
kory,7774,54.8,7838,0.99,77.6,4.1,415,11072,0.70,0.14,0.71,0.11,0.11,69.7,1.14,1.07
ALEX,20710,47.5,21052,0.98,76.3,3.4,1122,29713,0.70,0.13,0.71,0.10,0.09,67.4,1.09,0.99
YDNA,7636,38.9,7533,1.01,71.0,2.9,435,11265,0.68,0.11,0.67,0.09,0.10,68.5,1.06,1.03
gMd,8389,53.5,8436,0.99,75.4,3.5,464,12098,0.69,0.14,0.70,0.11,0.11,70.2,1.06,1.05
markeloff,19780,41.6,19292,1.03,74.3,5.0,1143,29624,0.67,0.15,0.65,0.08,0.09,69.0,0.96,0.99
Puls3,7860,43.3,7786,1.01,74.7,3.8,436,11572,0.68,0.15,0.67,0.11,0.12,71.3,1.03,0.99
neptune,9091,55.4,9114,1.00,74.8,3.1,498,13218,0.69,0.13,0.69,0.11,0.10,70.4,1.03,1.04
rbz,11278,48.9,11140,1.01,73.3,4.3,647,16903,0.67,0.13,0.66,0.09,0.10,69.3,0.96,0.99
BENDJI,16055,32.5,15918,1.01,75.4,5.3,878,23318,0.69,0.14,0.68,0.10,0.10,69.6,1.06,0.99
JACKZ,18440,58.3,18496,1.00,74.5,3.4,1030,27287,0.68,0.13,0.68,0.10,0.10,70.6,1.07,0.99
Vegi,13721,47.5,13878,0.99,77.1,3.7,721,19763,0.69,0.13,0.70,0.10,0.10,69.2,1.06,1.05
jaxi,8103,40.5,7920,1.02,73.7,2.9,472,12125,0.67,0.14,0.65,0.09,0.11,71.1,1.01,0.99
BARBARR,15776,42.7,15796,1.00,74.8,3.9,876,23180,0.68,0.13,0.68,0.09,0.09,68.2,1.07,0.99
Daffu,10901,52.2,10697,1.02,73.7,4.7,614,16344,0.67,0.13,0.65,0.12,0.13,71.7,0.97,1.05
VINI,15855,49.1,15894,1.00,73.6,4.1,916,23835,0.67,0.13,0.67,0.10,0.09,70.3,1.02,1.04
MUTiRiS,20614,50.9,20556,1.00,77.9,5.7,1148,29967,0.69,0.15,0.69,0.10,0.10,70.3,1.08,0.99
JIaYm,9791,52.5,10064,0.97,79.3,4.3,507,13753,0.71,0.14,0.73,0.10,0.10,67.4,1.15,1.05
magixx,10060,57.6,9855,1.02,70.1,3.6,589,15521,0.65,0.11,0.63,0.10,0.10,71.6,0.97,1.04
Dima,23782,52.5,24309,0.98,77.4,4.0,1310,34466,0.69,0.14,0.71,0.11,0.10,69.5,1.13,0.99
ANGE1,31392,51.3,32077,0.98,80.1,5.0,1728,45027,0.70,0.17,0.71,0.10,0.07,67.6,1.18,0.99
kaboose,10006,54.9,10311,0.97,76.1,2.4,549,14235,0.70,0.12,0.72,0.11,0.11,68.3,1.09,0.99
facecrack,31273,48.4,32000,0.98,77.6,3.2,1682,44893,0.70,0.14,0.71,0.10,0.09,69.1,1.11,0.99
Drone,8164,61.8,8332,0.98,75.2,3.9,454,11841,0.69,0.13,0.70,0.12,0.11,69.9,1.06,0.99
krii,7051,49.0,7046,1.00,74.2,3.2,398,10522,0.67,0.14,0.67,0.10,0.12,70.5,0.96,0.99
sXe,9901,42.9,9957,0.99,74.5,3.0,567,14684,0.67,0.14,0.68,0.10,0.10,70.1,0.99,0.99
Dosia,25227,48.1,24934,1.01,73.9,5.5,1431,37517,0.67,0.15,0.66,0.08,0.08,68.2,0.95,0.99
vanity,10461,41.8,10381,1.01,74.0,4.6,609,15688,0.67,0.13,0.66,0.10,0.09,70.8,1.05,1.06
realziN,8986,50.0,8940,1.01,73.5,5.7,516,13634,0.66,0.14,0.66,0.11,0.09,72.4,1.02,1.06
Furlan,36775,53.1,37226,0.99,76.3,5.1,2037,54169,0.68,0.14,0.69,0.10,0.09,69.5,1.09,0.99
fitch,10410,52.6,10620,0.98,77.9,4.9,574,15207,0.68,0.15,0.70,0.09,0.08,68.2,1.10,0.99
gla1ve,27978,46.5,27725,1.01,75.2,6.2,1604,42137,0.66,0.16,0.66,0.10,0.08,70.3,1.06,0.99
larsen,9208,30.5,9088,1.01,70.5,4.0,528,13863,0.66,0.10,0.66,0.09,0.07,68.0,1.05,0.99
J1rah,12853,46.1,12828,1.00,73.0,4.6,746,19318,0.67,0.13,0.66,0.10,0.08,69.7,1.03,1.04
gade,16756,53.6,16884,0.99,72.5,3.6,964,25326,0.66,0.12,0.67,0.10,0.10,69.8,1.01,0.99
morelz,18966,46.9,19242,0.99,76.8,3.2,1031,27393,0.69,0.14,0.70,0.08,0.08,68.2,1.06,0.99
raalz,15101,58.3,15191,0.99,72.7,5.1,837,22586,0.67,0.12,0.67,0.10,0.11,70.3,1.02,0.99
SAGGERTON,9723,42.6,9954,0.98,75.4,4.6,540,14097,0.69,0.15,0.71,0.11,0.10,68.8,1.10,0.99
Jonji,17776,41.0,18145,0.98,80.5,6.5,994,25493,0.70,0.17,0.71,0.11,0.08,70.6,1.19,1.09
Lukki,15622,51.2,15631,1.00,72.4,3.0,893,23437,0.67,0.13,0.67,0.12,0.12,71.6,0.98,0.99
rmn,18531,54.4,18596,1.00,74.3,3.6,1042,27204,0.68,0.13,0.68,0.10,0.11,70.2,1.04,0.99
AZR,19524,51.5,19699,0.99,74.4,3.9,1093,28528,0.68,0.14,0.69,0.11,0.11,70.3,1.00,0.99
WOOD7,8181,31.1,7926,1.03,72.2,5.8,477,12436,0.66,0.12,0.64,0.08,0.08,70.7,0.99,1.05
ryotzz,7922,37.2,8076,0.98,80.4,5.9,447,11613,0.68,0.18,0.70,0.10,0.09,70.5,1.10,1.08
DAVEY,14126,41.3,14409,0.98,76.8,2.8,800,20694,0.68,0.14,0.70,0.08,0.08,68.1,1.04,0.99
bq,6899,53.3,7056,0.98,74.7,3.2,373,10052,0.69,0.13,0.70,0.08,0.08,68.4,1.05,1.03
djay,13344,48.3,13456,0.99,74.6,4.0,760,19681,0.68,0.14,0.68,0.11,0.11,70.6,1.00,1.04
stellar,7396,45.7,7370,1.00,76.2,4.3,427,10968,0.67,0.13,0.67,0.10,0.10,71.3,0.98,1.05
Xizt,28491,46.8,27984,1.02,70.4,5.0,1665,42830,0.67,0.17,0.65,0.10,0.10,69.6,0.88,0.98
RUBINO,17632,52.5,17802,0.99,71.7,2.3,998,26140,0.67,0.13,0.68,0.10,0.09,69.2,0.97,0.98
k1to,21448,57.9,21931,0.98,74.3,4.5,1187,31578,0.68,0.12,0.69,0.10,0.09,69.3,1.04,1.03
apocdud,11909,36.4,11964,1.00,74.8,5.4,680,17629,0.68,0.13,0.68,0.11,0.10,68.9,1.07,1.05
AdreN,31357,48.8,31574,0.99,75.9,5.3,1767,46454,0.68,0.15,0.68,0.08,0.07,68.5,1.05,0.98
bew,6854,50.7,6911,0.99,76.3,6.4,376,10079,0.68,0.15,0.69,0.11,0.11,70.5,1.03,1.05
bodyy,22140,56.3,22406,0.99,75.7,4.4,1246,32985,0.67,0.15,0.68,0.11,0.09,69.8,1.06,0.98
ryann,12192,55.1,12461,0.98,73.9,3.0,697,17857,0.68,0.12,0.70,0.12,0.10,69.7,1.07,1.04
Zix,7076,54.4,7242,0.98,75.0,4.4,400,10329,0.69,0.14,0.70,0.12,0.11,70.0,1.05,1.04
isak,9379,49.7,9411,1.00,73.4,5.2,525,14241,0.66,0.13,0.66,0.09,0.09,70.0,0.99,1.03
NickelBack,23061,40.0,23072,1.00,75.5,6.3,1311,34774,0.66,0.16,0.66,0.10,0.10,71.4,1.00,1.05
DeadFox,13856,38.4,13910,1.00,69.5,3.5,807,21060,0.66,0.13,0.66,0.10,0.11,69.8,0.98,0.98
Perfecto,10852,46.5,10499,1.03,69.9,4.4,659,17387,0.62,0.13,0.60,0.09,0.09,73.0,0.88,1.03
zende,7064,47.7,7065,1.00,74.1,3.4,397,10444,0.68,0.13,0.68,0.09,0.11,70.3,1.02,0.98
anger,12065,50.9,12294,0.98,74.2,3.5,682,17700,0.68,0.14,0.69,0.10,0.10,69.5,1.00,0.98
Spiidi,34249,40.3,34075,1.01,73.7,5.1,1983,52609,0.65,0.15,0.65,0.09,0.09,70.3,0.93,0.98
Llamas,7596,49.1,7621,1.00,70.9,3.3,451,11530,0.66,0.12,0.66,0.10,0.11,70.6,0.92,1.01
doto,11512,54.8,11696,0.98,74.6,4.5,648,17287,0.67,0.14,0.68,0.09,0.09,68.6,1.05,0.98
tifa,7090,45.7,7199,0.98,74.3,3.6,407,10476,0.68,0.14,0.69,0.09,0.10,68.3,1.04,0.98
Boombl4,18707,41.6,19067,0.98,76.0,4.6,1055,27948,0.67,0.14,0.68,0.09,0.08,68.8,1.10,1.05
jnt,10050,35.5,9892,1.02,68.9,3.9,608,15674,0.64,0.11,0.63,0.09,0.09,70.8,0.97,1.03
wiz,7010,28.9,6990,1.00,69.5,4.3,403,10672,0.66,0.10,0.65,0.09,0.10,68.8,0.98,1.02
kwezz,9108,55.9,9213,0.99,72.7,4.6,518,13829,0.66,0.11,0.67,0.08,0.09,68.0,0.93,1.01
prt,12574,53.3,12660,0.99,72.8,3.0,724,18787,0.67,0.13,0.67,0.11,0.11,69.8,0.99,1.03
SHOOWTiME,16531,45.5,16787,0.98,75.2,4.2,946,24427,0.68,0.13,0.69,0.10,0.10,69.3,1.05,0.98
ZEDKO,18077,52.6,18215,0.99,73.2,4.4,1029,27231,0.66,0.13,0.67,0.10,0.09,70.5,1.02,0.98
BIT,12295,48.2,12231,1.01,74.2,5.6,727,18792,0.65,0.15,0.65,0.11,0.09,71.6,1.02,0.98
syken,7450,57.8,7698,0.97,74.1,3.3,413,10832,0.69,0.12,0.71,0.11,0.11,68.4,1.03,0.98
jabbi,12165,60.1,12225,1.00,70.8,4.4,683,18426,0.66,0.11,0.66,0.10,0.11,69.9,0.98,1.02
niki1,17699,48.8,18014,0.98,76.8,6.7,1012,26384,0.67,0.16,0.68,0.10,0.09,70.1,1.06,0.98
DeStRoYeR,10295,42.1,10440,0.99,74.7,2.7,571,15101,0.68,0.12,0.69,0.09,0.09,69.1,1.04,0.98
BURNRUOk,15228,50.7,15746,0.97,76.9,3.7,860,22168,0.69,0.14,0.71,0.09,0.08,67.8,1.13,0.98
NEKIZ,15535,48.1,15852,0.98,74.9,3.9,877,23017,0.67,0.13,0.69,0.10,0.10,69.7,1.06,0.98
Sergiz,7819,52.1,7733,1.01,72.7,5.1,456,12110,0.65,0.13,0.64,0.08,0.09,70.3,0.94,1.03
RUSH,23817,47.4,24112,0.99,72.1,3.8,1374,35957,0.66,0.15,0.67,0.11,0.10,71.7,0.97,0.98
Radifaction,8996,49.8,9178,0.98,75.3,3.4,498,13361,0.67,0.13,0.69,0.09,0.09,68.8,1.03,1.03
sinnopsyy,10750,57.5,11221,0.96,79.1,5.4,579,15555,0.69,0.13,0.72,0.08,0.07,66.3,1.10,1.03
PERCY,18369,58.5,18769,0.98,73.5,4.2,1030,27376,0.67,0.12,0.69,0.09,0.09,67.8,1.02,0.98
RuStY,22136,53.0,22397,0.99,73.6,4.3,1232,33313,0.66,0.13,0.67,0.10,0.10,70.5,1.00,1.03
Marek,6820,52.1,6918,0.99,73.8,3.5,391,10297,0.66,0.13,0.67,0.09,0.10,70.0,0.99,0.98
blocker,15729,49.3,16240,0.97,77.0,4.9,864,22973,0.68,0.15,0.71,0.11,0.12,70.0,1.06,1.05
SPELLAN,24610,39.6,24841,0.99,74.1,5.4,1432,37492,0.66,0.13,0.66,0.08,0.08,68.9,1.01,1.03
RpK,26056,50.7,26673,0.98,72.1,2.9,1499,39100,0.67,0.13,0.68,0.11,0.11,70.4,0.96,0.97
mono,11609,44.6,11617,1.00,75.6,5.7,660,17625,0.66,0.13,0.66,0.07,0.09,69.9,0.92,0.97
pesadelo,9350,44.4,9732,0.96,75.9,6.1,527,13756,0.68,0.14,0.71,0.10,0.09,68.1,1.04,1.02
jmqa,16152,51.0,16425,0.98,73.8,4.4,922,24189,0.67,0.13,0.68,0.09,0.08,68.1,1.00,0.97
propleh,6836,49.2,6938,0.99,74.2,4.3,387,10295,0.66,0.14,0.67,0.10,0.11,70.6,0.99,1.03
Fadey,10365,55.2,10896,0.95,76.0,3.6,585,14985,0.69,0.13,0.73,0.12,0.10,67.7,1.12,0.97
seb,10456,45.5,10680,0.98,76.0,4.1,603,15586,0.67,0.15,0.69,0.11,0.11,70.3,0.99,0.97
oskarish,16976,50.7,17272,0.98,70.6,4.2,974,25972,0.65,0.13,0.67,0.10,0.10,69.8,0.98,0.97
Keoz,14040,54.9,14609,0.96,75.1,4.9,780,20736,0.68,0.13,0.70,0.10,0.09,68.0,1.07,1.03
TMB,11230,47.7,11555,0.97,77.9,7.4,631,16822,0.67,0.16,0.69,0.10,0.09,69.0,1.08,1.05
leman,7840,51.6,7968,0.98,72.0,4.0,445,11955,0.66,0.13,0.67,0.10,0.12,70.4,0.96,0.97
